AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition	OWGIndexID	LEVEL-0	TYPE-1	SUBTYPE-2	SUB-SUBTYPE-3	SUB-SUB-SUBTYPE-4	SUB-SUB--SUB-SUBTYPE-5	SUB-SUB--SUB-SUB-SUBTYPE-6	SUB-SUB--SUB-SUB-SUB-SUBTYPE-7	Entity Type	Source Ontology	Uplink	Definition
LDC_ent_118	PER	per	ProfessionalPosition	professionalposition	Ambassador	ambassador	"An ambassador, diplomat of the highest rank; accredited as representative from one country to another"	OWG_ent_291	Entity	Shish	PER	Ambassador	-	-	-	-	Ambassador109787534	RPI	PER	a diplomat of the highest rank; accredited as representative from one country to another
LDC_ent_119	PER	per	ProfessionalPosition	professionalposition	Firefighter	firefighter	A fire fighter	OWG_ent_298	Entity	Shish	PER	Firefighter	-	-	-	-	Firefighter/m/012n4x	Columbia-RPI	PER	https://en.wikipedia.org/wiki/Firefighter
LDC_ent_120	PER	per	ProfessionalPosition	professionalposition	Journalist	journalist	"A journalist, a writer for newspapers and magazines"	OWG_ent_285	Entity	Shish	PER	Writer	Journalist	-	-	-	Journalist110224578	RPI	Writer110794014	a writer for newspapers and magazines
LDC_ent_121	PER	per	ProfessionalPosition	professionalposition	Minister	minister	"A government minister, a person appointed to a high office in the government"	OWG_ent_282	Entity	Shish	PER	Administrator	Executive	Minister	-	-	Minister110320863	RPI	Executive110069645	a person appointed to a high office in the government
LDC_ent_122	PER	per	ProfessionalPosition	professionalposition	Paramedic	paramedic	"A medic, a paramedic"	OWG_ent_301	Entity	Shish	PER	Paramedic	-	-	-	-	paramedics/m/0jzbb	Columbia-RPI	PER	https://en.wikipedia.org/wiki/Paramedic
LDC_ent_123	PER	per	ProfessionalPosition	professionalposition	Scientist	scientist	A person with advanced knowledge of one or more sciences	OWG_ent_267	Entity	Shish	PER	Scientist	-	-	-	-	Scientist110560637	RPI	PER	a person with advanced knowledge of one or more sciences
LDC_ent_124	PER	per	ProfessionalPosition	professionalposition	Spokesperson	spokesperson	A spokesperson	OWG_ent_300	Entity	Shish	PER	Spokesperson	-	-	-	-	Spokesperson/m/01xr66	Columbia-RPI	PER	https://en.wikipedia.org/wiki/Spokesperson
LDC_ent_125	PER	per	ProfessionalPosition	professionalposition	Spy	spy	"A spy, (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors"	OWG_ent_288	Entity	Shish	PER	Spy	-	-	-	-	Spy110641755	RPI	PER	(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
LDC_ent_126	PER	per	Protester	protester	n/a	unspecified	A protester	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_127	PER	per	Protester	protester	ProtestLeader	protestleader	The leader of a protest	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_128	RES	res	n/a	unspecified	n/a	unspecified	The results of a voting event.  This will cover general results as well as counted results.	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_129	RES	res	NumberPercentageVotes	numberpercentagevotes	NumberPercentageVotes	numberpercentagevotes	Results of a voting event expressed as a number or a percentage of the vote	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_130	RES	res	TurnoutVoters	turnoutvoters	TurnoutVoters	turnoutvoters	Results of a voting event expressed as voter turnout	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_131	SID	sid	n/a	unspecified	n/a	unspecified	"The different sides of a conflict, such as  philosophical, cultural, ideological, religious, political, guiding philosophical movement or group orientation.  This will encompass sides of the battle/conflict, sports fans when salient, and other such affiliations, in addition to religions, political parties, and other philosophies."	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_132	SID	sid	Cultural	cultural	Cultural	cultural	Cultural side	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_133	SID	sid	Ideological	ideological	Ideological	ideological	Ideological side	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_134	SID	sid	Political	political	Opposition	opposition	Side of the opposition	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_135	SID	sid	Religious	religious	Religious	religious	Religious side	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_136	SID	sid	Sports	sports	Sports	sports	Side of a sports team	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_137	TTL	ttl	n/a	unspecified	n/a	unspecified	A person’s title or job role	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_138	VAL	val	n/a	unspecified	n/a	unspecified	"A numerical value, the the smallest string of words that includes both the number and the indicator (type of number -- %, percent, miles, kilometers, etc.) and also any additional quantifiers that might be present such as ‘nearly’, ‘almost’ and ‘over’."	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_139	VAL	val	Number	number	Number	number	"The the smallest string of words that includes both the number and the indicator (type of number -- %, percent, miles, kilometers, etc.) and also any additional quantifiers that might be present such as ‘nearly’, ‘almost’ and ‘over’. "	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_140	VEH	veh	n/a	unspecified	n/a	unspecified	"A physical device primarily designed to move an object from one location to another, by (for example) carrying, flying, pulling, or pushing the transported object. Vehicle entities may or may not have their own power source."	OWG_ent_018	Entity	PhysicalEntity	Artifact	Vehicle	-	-	-	-	Vehicle	AIDA-OWG	Artifact	
LDC_ent_141	VEH	veh	Aircraft	aircraft	n/a	unspecified	"Aircraft, a vehicle that can fly"	OWG_ent_037	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Aircraft	-	-	Aircraft102686568	RPI	Craft103125870	a vehicle that can fly
LDC_ent_142	VEH	veh	Aircraft	aircraft	Airplane	airplane	An airplane	OWG_ent_038	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Aircraft	Airplane	-	Airplane/m/0cmf2	Columbia-RPI	Aircraft102686568	https://en.wikipedia.org/wiki/Fixed-wing_aircraft
LDC_ent_143	VEH	veh	Aircraft	aircraft	CargoAircraft	cargoaircraft	A cargo plane	OWG_ent_039	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Aircraft	CargoAircraft	-	Cargo aircraft/m/077hhl	Columbia-RPI	Aircraft102686568	https://en.wikipedia.org/wiki/Cargo_aircraft
LDC_ent_144	VEH	veh	Aircraft	aircraft	Helicopter	helicopter	A helicopter	OWG_ent_040	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Aircraft	Helicopter	-	Helicopter/m/09ct_	Columbia-RPI	Aircraft102686568	https://en.wikipedia.org/wiki/Helicopter
LDC_ent_145	VEH	veh	MilitaryVehicle	militaryvehicle	n/a	unspecified	"Military vehicle, non-aircraft"	OWG_ent_055	Entity	PhysicalEntity	Artifact	Vehicle	MilitaryVehicle	-	-	-	Military vehicle/dvmm/synset/0003	Columbia-RPI	Vehicle	
LDC_ent_146	VEH	veh	MilitaryVehicle	militaryvehicle	FighterAircraft	fighteraircraft	Military fighter aircraft	OWG_ent_058	Entity	PhysicalEntity	Artifact	Vehicle	MilitaryVehicle	MilitaryAircraft	FighterAircraft	-	Fighter aircraft/m/02yjc	Columbia-RPI	Military aircraft/m/0f5lx	https://en.wikipedia.org/wiki/Fighter_aircraft
LDC_ent_147	VEH	veh	MilitaryVehicle	militaryvehicle	MilitaryBoat	militaryboat	Military water craft	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_148	VEH	veh	MilitaryVehicle	militaryvehicle	MilitaryTransportAircraft	militarytransportaircraft	Military transport airplane	OWG_ent_059	Entity	PhysicalEntity	Artifact	Vehicle	MilitaryVehicle	MilitaryAircraft	MilitaryTransportAircraft	-	Military transport aircraft/m/03hfwtf	Columbia-RPI	Military aircraft/m/0f5lx	https://en.wikipedia.org/wiki/Military_transport_aircraft
LDC_ent_149	VEH	veh	MilitaryVehicle	militaryvehicle	Tank	tank	"Tank, armoured fighting vehicle"	OWG_ent_060	Entity	PhysicalEntity	Artifact	Vehicle	MilitaryVehicle	Tank	-	-	Tank/m/07cmd	Columbia-RPI	Military vehicle/dvmm/synset/0003	https://en.wikipedia.org/wiki/Tank
LDC_ent_150	VEH	veh	Rocket	rocket	Rocket	rocket	"A rocket, any vehicle self-propelled by a rocket engine"	OWG_ent_054	Entity	PhysicalEntity	Artifact	Vehicle	Rocket	-	-	-	Rocket104099429	RPI	Vehicle	any vehicle self-propelled by a rocket engine
LDC_ent_151	VEH	veh	Watercraft	watercraft	n/a	unspecified	"A water craft, a vehicle for use in the water"	OWG_ent_042	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	-	-	Watercraft/m/01rzcn	Columbia-RPI	Craft103125870	https://en.wikipedia.org/wiki/Watercraft
LDC_ent_152	VEH	veh	Watercraft	watercraft	Boat	boat	A boat	OWG_ent_043	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Boat	-	Boat/m/019jd	Columbia-RPI	Watercraft/m/01rzcn	https://en.wikipedia.org/wiki/Boat
LDC_ent_153	VEH	veh	Watercraft	watercraft	Yacht	yacht	A yacht	OWG_ent_052	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Yacht	-	Yacht/m/08854	Columbia-RPI	Watercraft/m/01rzcn	https://en.wikipedia.org/wiki/Yacht
LDC_ent_154	VEH	veh	WheeledVehicle	wheeledvehicle	n/a	unspecified	"A wheeled vehicle, a vehicle that moves on wheels and usually has a container for transporting things or people"	OWG_ent_019	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	-	-	-	WheeledVehicle104576211	RPI	Vehicle	a vehicle that moves on wheels and usually has a container for transporting things or people
LDC_ent_155	VEH	veh	WheeledVehicle	wheeledvehicle	Bus	bus	"A bus, motorbus, or autobus"	OWG_ent_021	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Bus	-	-	Bus/m/01bjv	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Bus
LDC_ent_156	VEH	veh	WheeledVehicle	wheeledvehicle	Car	car	"A car, a wheeled motor vehicle used for transportation"	OWG_ent_023	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Car	-	-	Car/m/0k4j	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Car
LDC_ent_157	VEH	veh	WheeledVehicle	wheeledvehicle	FireApparatus	fireapparatus	"Fire truck, fire engine, vehicle used for fire fighting"	OWG_ent_028	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	FireApparatus	-	-	Fire apparatus/m/012ndj	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Fire_engine
LDC_ent_158	VEH	veh	WheeledVehicle	wheeledvehicle	Train	train	"A train, for rail transport"	OWG_ent_031	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Train	-	-	Train/m/07jdr	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Train
LDC_ent_159	VEH	veh	WheeledVehicle	wheeledvehicle	Truck	truck	"A truck or lorry, a motor vehicle designed to transport cargo"	OWG_ent_033	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Truck	-	-	Truck/m/07r04	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Truck
LDC_ent_160	WEA	wea	n/a	unspecified	n/a	unspecified	A physical device that is primarily used as an instrument for physically harming or destroying entities	OWG_ent_061	Entity	PhysicalEntity	Artifact	Weapon	-	-	-	-	Weapon	AIDA-OWG	Artifact	
LDC_ent_161	WEA	wea	Bomb	bomb	n/a	unspecified	"A bomb, an explosive weapon that uses the exothermic reaction of an explosive material to provide an extremely sudden and violent release of energy"	OWG_ent_075	Entity	PhysicalEntity	Artifact	Weapon	Bomb	-	-	-	Bomb/m/0ct4f	Columbia-RPI	Weapon	https://en.wikipedia.org/wiki/Bomb
LDC_ent_162	WEA	wea	Bomb	bomb	Grenade	grenade	A grenade	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_163	WEA	wea	Bomb	bomb	MolotovCocktail	molotovcocktail	A molotov cocktail	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_164	WEA	wea	Bullets	bullets	n/a	unspecified	Bullets	OWG_ent_074	Entity	PhysicalEntity	Artifact	Weapon	Bullets	-	-	-	Bullets/dvmm/synset/0014	Columbia-RPI	Weapon	
LDC_ent_165	WEA	wea	Bullets	bullets	Ammunition	ammunition	Bullets which are ammunition	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_166	WEA	wea	Bullets	bullets	LiveRounds	liverounds	Bullets which are live rounds	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_167	WEA	wea	Bullets	bullets	RubberBullets	rubberbullets	Rubber bullets	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_168	WEA	wea	Cannon	cannon	Cannon	cannon	Cannon	OWG_ent_076	Entity	PhysicalEntity	Artifact	Weapon	Cannon	-	-	-	Cannon/m/020kz	Columbia-RPI	Weapon	https://en.wikipedia.org/wiki/Cannon
LDC_ent_169	WEA	wea	Club	club	n/a	unspecified	A club-type object used as a weapon	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_170	WEA	wea	Club	club	Bat	bat	A bat	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_171	WEA	wea	DaggerKnifeSword	daggerknifesword	n/a	unspecified	"A dagger, knife, or sword used as a weapon"	OWG_ent_077	Entity	PhysicalEntity	Artifact	Weapon	DaggerKnifeSword	-	-	-	Dagger/Knife/Sword/dvmm/synset/0006	Columbia-RPI	Weapon	
LDC_ent_172	WEA	wea	DaggerKnifeSword	daggerknifesword	Hatchet	hatchet	A hatchet	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_173	WEA	wea	Gas	gas	n/a	unspecified	Gas used as a weapon	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_174	WEA	wea	Gas	gas	PoisonGas	poisongas	Poison gas	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_175	WEA	wea	Gas	gas	TearGas	teargas	Tear gas	OWG_ent_079	Entity	PhysicalEntity	Artifact	Weapon	TearGas	-	-	-	tear_gas/dvmm/new/0006	Columbia-RPI	Weapon	
LDC_ent_176	WEA	wea	GrenadeLauncher	grenadelauncher	GrenadeLauncher	grenadelauncher	A grenade launcher	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_177	WEA	wea	Gun	gun	n/a	unspecified	A weapon that discharges a missile at high velocity (especially from a metal tube or barrel)	OWG_ent_067	Entity	PhysicalEntity	Artifact	Weapon	Gun	-	-	-	Gun103467984	RPI	Weapon	a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
LDC_ent_178	WEA	wea	Gun	gun	Artillery	artillery	"Artillery, heavy military weapons built to fire munitions far beyond the range and power of infantry's small arms"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_179	WEA	wea	Gun	gun	Firearm	firearm	"A firearm, a portable gun"	OWG_ent_069	Entity	PhysicalEntity	Artifact	Weapon	Gun	Firearm	-	-	Firearm/m/034qg	Columbia-RPI	Gun103467984	https://en.wikipedia.org/wiki/Firearm
LDC_ent_180	WEA	wea	MissileSystem	missilesystem	n/a	unspecified	"A missile launching system, including all components"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_181	WEA	wea	MissileSystem	missilesystem	AirToAirMissile	airtoairmissile	An air to air missile	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_182	WEA	wea	MissileSystem	missilesystem	AntiAircraftMissle	antiaircraftmissle	An anti-aircraft missile	OWG_ent_065	Entity	PhysicalEntity	Artifact	Weapon	Missile	AntiAircraft	-	-	anti aircraft/dvmm/new/0002	Columbia-RPI	Missile103773504	
LDC_ent_183	WEA	wea	MissileSystem	missilesystem	MissileLauncher	missilelauncher	A missile launcher	OWG_ent_078	Entity	PhysicalEntity	Artifact	Weapon	MissileLauncher	-	-	-	missile launcher/dvmm/new/0004	Columbia-RPI	Weapon	
LDC_ent_184	WEA	wea	MissileSystem	missilesystem	Missile	missile	A rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control	OWG_ent_062	Entity	PhysicalEntity	Artifact	Weapon	Missile	-	-	-	Missile103773504	RPI	Weapon	a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
LDC_ent_185	WEA	wea	MissileSystem	missilesystem	SurfaceToAirMissile	surfacetoairmissile	A surface to air missile	OWG_ent_064	Entity	PhysicalEntity	Artifact	Weapon	Missile	GuidedMissile	Surface-to-airMissile	-	Surface-to-airMissile104363210	RPI	GuidedMissile103466162	a guided missile fired from land or shipboard against an airborne target
LDC_ent_186	WEA	wea	ThrownProjectile	thrownprojectile	n/a	unspecified	A thrown projectile used as a weapon	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_187	WEA	wea	ThrownProjectile	thrownprojectile	Rock	rock	A rock used as a weapon	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_001	Entity	-	-	-	-	-	-	-	Entity	AIDA-OWG		
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_002	Entity	PhysicalEntity	-	-	-	-	-	-	PhysicalEntity	AIDA-OWG	Entity	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_003	Entity	PhysicalEntity	Person	-	-	-	-	-	Person	AIDA-OWG	PhysicalEntity	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_004	Entity	PhysicalEntity	NonHumanLivingBeing	-	-	-	-	-	NonHumanLivingBeing	AIDA-OWG	PhysicalEntity	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_005	Entity	PhysicalEntity	NonHumanLivingBeing	Animal	-	-	-	-	Animal/m/0jbk	Columbia-RPI	NonHumanLivingBeing	https://en.wikipedia.org/wiki/Animal
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_006	Entity	PhysicalEntity	NonHumanLivingBeing	Animal	Dog	-	-	-	Dog/m/0bt9lr	Columbia-RPI	Animal/m/0jbk	https://en.wikipedia.org/wiki/Dog
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_007	Entity	PhysicalEntity	NonHumanLivingBeing	Animal	Dog	PoliceDog	-	-	Police dog/m/02mwm5	Columbia-RPI	Dog/m/0bt9lr	https://en.wikipedia.org/wiki/Police_dog
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_008	Entity	PhysicalEntity	LivingBodyPart	-	-	-	-	-	LivingBodyPart	AIDA-OWG	PhysicalEntity	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_009	Entity	PhysicalEntity	LivingBodyPart	HumanBody	-	-	-	-	Human body/m/02p0tk3	Columbia-RPI	LivingBodyPart	https://en.wikipedia.org/wiki/Human_body
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_010	Entity	PhysicalEntity	LivingBodyPart	HumanFace	-	-	-	-	Human face/m/0dzct	Columbia-RPI	LivingBodyPart	https://en.wikipedia.org/wiki/Face
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_011	Entity	PhysicalEntity	LivingBodyPart	HumanHead	-	-	-	-	Human head/m/04hgtk	Columbia-RPI	LivingBodyPart	https://en.wikipedia.org/wiki/Head
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_012	Entity	PhysicalEntity	NaturalNonLivingObject	-	-	-	-	-	NaturalNonLivingObject	AIDA-OWG	PhysicalEntity	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_013	Entity	PhysicalEntity	NaturalNonLivingObject	BodyOfWater	-	-	-	-	BodyOfWater109225146	RPI	NaturalNonLivingObject	the part of the earth's surface covered with water (such as a river or lake or ocean)
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_014	Entity	PhysicalEntity	NaturalNonLivingObject	BodyOfWater	Stream	-	-	-	Stream109448361	RPI	BodyOfWater109225146	a natural body of running water flowing on or under the earth
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_015	Entity	PhysicalEntity	NaturalNonLivingObject	Smoke	-	-	-	-	Smoke/m/06q40	Columbia-RPI	NaturalNonLivingObject	https://en.wikipedia.org/wiki/Smoke
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_016	Entity	PhysicalEntity	NaturalNonLivingObject	Mountain	-	-	-	-	mountain/cmu	CMU	NaturalNonLivingObject	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_020	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Bicycle	-	-	Bicycle/m/0199g	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Bicycle
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_022	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Bus	Double-deckerBus	-	Double-decker bus/m/03n9vx	Columbia-RPI	Bus/m/01bjv	https://en.wikipedia.org/wiki/Double-decker_bus
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_024	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Car	Ambulance	-	Ambulance/m/012n7d	Columbia-RPI	Car/m/0k4j	https://en.wikipedia.org/wiki/Ambulance
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_025	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Car	Limousine	-	Limousine/m/01lcw4	Columbia-RPI	Car/m/0k4j	https://en.wikipedia.org/wiki/Limousine
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_026	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Car	PoliceCar	-	Police car/m/04qvtq	Columbia-RPI	Car/m/0k4j	https://en.wikipedia.org/wiki/Police_car
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_027	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Car	Taxi	-	Taxi/m/0pg52	Columbia-RPI	Car/m/0k4j	https://en.wikipedia.org/wiki/Taxicab
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_029	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Motorcycle	-	-	Motorcycle/m/04_sv	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Motorcycle
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_030	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Tractor	-	-	Tractor/m/013xlm	Columbia-RPI	WheeledVehicle104576211	https://en.wikipedia.org/wiki/Tractor
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_032	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Train	Locomotive	-	Locomotive/m/04h5c	Columbia-RPI	Train/m/07jdr	https://en.wikipedia.org/wiki/Locomotive
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_034	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Truck	TrailerTruck	-	Trailer truck/m/078my	Columbia-RPI	Truck/m/07r04	https://en.wikipedia.org/wiki/Semi-trailer_truck
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_035	Entity	PhysicalEntity	Artifact	Vehicle	WheeledVehicle	Truck	Van	-	Van/m/0h2r6	Columbia-RPI	Truck/m/07r04	https://en.wikipedia.org/wiki/Van
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_036	Entity	PhysicalEntity	Artifact	Vehicle	Craft	-	-	-	Craft103125870	RPI	Vehicle	a vehicle designed for navigation in or on water or air or through outer space
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_041	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Aircraft	Propeller-drivenAircraft	-	Propeller-driven aircraft/m/0bp37nz	Columbia-RPI	Aircraft102686568	
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_044	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Boat	Barge	Barge/m/01btn	Columbia-RPI	Boat/m/019jd	https://en.wikipedia.org/wiki/Barge
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_045	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Boat	Sailboat	Sailboat/m/0hsrw	Columbia-RPI	Boat/m/019jd	https://en.wikipedia.org/wiki/Sailboat
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_046	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Boat	Ferry	ferry/m/0ddnl	Columbia-RPI	Boat/m/019jd	https://en.wikipedia.org/wiki/Ferry
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_047	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Ship	-	Ship/m/06q74	Columbia-RPI	Watercraft/m/01rzcn	https://en.wikipedia.org/wiki/Ship
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_048	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Ship	AircraftCarrier	Aircraft carrier/m/0xsc	Columbia-RPI	Ship/m/06q74	https://en.wikipedia.org/wiki/Aircraft_carrier
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_049	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Ship	Submarine	Submarine/m/074d1	Columbia-RPI	Ship/m/06q74	https://en.wikipedia.org/wiki/Submarine
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_050	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Ship	CruiseShip	Cruise ship/m/01tq2l	Columbia-RPI	Ship/m/06q74	https://en.wikipedia.org/wiki/Cruise_ship
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_051	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Watercraft	Ship	PassengerShip	Passenger ship/m/020dwk	Columbia-RPI	Ship/m/06q74	https://en.wikipedia.org/wiki/Passenger_ship
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_053	Entity	PhysicalEntity	Artifact	Vehicle	Craft	Spacecraft	-	-	Spacecraft/m/09g5h	Columbia-RPI	Craft103125870	https://en.wikipedia.org/wiki/Spacecraft
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_056	Entity	PhysicalEntity	Artifact	Vehicle	MilitaryVehicle	MilitaryAircraft	-	-	Military aircraft/m/0f5lx	Columbia-RPI	Military vehicle/dvmm/synset/0003	https://en.wikipedia.org/wiki/Military_aircraft
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_057	Entity	PhysicalEntity	Artifact	Vehicle	MilitaryVehicle	MilitaryAircraft	Bomber	-	Bomber/m/015_d	Columbia-RPI	Military aircraft/m/0f5lx	https://en.wikipedia.org/wiki/Bomber
not present	not present	not present	not present	not present	not present	not present	not present	OWG_ent_063	Entity	PhysicalEntity	Artifact	Weapon	Missile	GuidedMissile	-	-	GuidedMissile103466162	RPI	Missile103773504	a rocket-propelled missile whose path can be controlled during flight either by radio signals or by internal homing devices
