ontology_id	full_type	full_type_ov	metatype
LDC_rel_020	GeneralAffiliation.OrganizationWebsite.OrganizationWebsite	generalaffiliation.organizationwebsite.organizationwebsite	Relation
LDC_rel_021	GeneralAffiliation.Sponsorship	generalaffiliation.sponsorship	Relation
LDC_rel_022	GeneralAffiliation.Sponsorship.AdvisePlanOrganize	generalaffiliation.sponsorship.adviseplanorganize	Relation
LDC_rel_023	GeneralAffiliation.Sponsorship.Affiliated	generalaffiliation.sponsorship.affiliated	Relation
LDC_rel_024	GeneralAffiliation.Sponsorship.HelpSupport	generalaffiliation.sponsorship.helpsupport	Relation
LDC_rel_026	Information.Color.Color	information.color.color	Relation
LDC_rel_028	Information.Make.Make	information.make.make	Relation
LDC_rel_029	Measurement.Size	measurement.size	Relation
LDC_rel_030	Measurement.Size.Count	measurement.size.count	Relation
LDC_rel_031	Measurement.Size.HeightLengthWidth	measurement.size.heightlengthwidth	Relation
LDC_rel_032	Measurement.Size.Percentage	measurement.size.percentage	Relation
LDC_rel_033	Measurement.Size.Weight	measurement.size.weight	Relation
LDC_rel_034	OrganizationAffiliation.EmploymentMembership	organizationaffiliation.employmentmembership	Relation
LDC_rel_035	OrganizationAffiliation.EmploymentMembership.Employment	organizationaffiliation.employmentmembership.employment	Relation
LDC_rel_036	OrganizationAffiliation.EmploymentMembership.Membership	organizationaffiliation.employmentmembership.membership	Relation
LDC_rel_038	OrganizationAffiliation.Founder.Founder	organizationaffiliation.founder.founder	Relation
LDC_rel_039	OrganizationAffiliation.Leadership	organizationaffiliation.leadership	Relation
LDC_rel_040	OrganizationAffiliation.Leadership.Government	organizationaffiliation.leadership.government	Relation
LDC_rel_041	OrganizationAffiliation.Leadership.HeadOfState	organizationaffiliation.leadership.headofstate	Relation
LDC_rel_042	OrganizationAffiliation.Leadership.MilitaryPolice	organizationaffiliation.leadership.militarypolice	Relation
LDC_rel_043	PartWhole.Subsidiary	partwhole.subsidiary	Relation
LDC_rel_044	PartWhole.Subsidiary.NationalityCitizen	partwhole.subsidiary.nationalitycitizen	Relation
LDC_rel_045	PartWhole.Subsidiary.OrganizationSubsidiary	partwhole.subsidiary.organizationsubsidiary	Relation
LDC_rel_046	PersonalSocial.Role	personalsocial.role	Relation
LDC_rel_047	PersonalSocial.Role.ProfessionalRole	personalsocial.role.professionalrole	Relation
LDC_rel_048	PersonalSocial.Role.TitleFormOfAddress	personalsocial.role.titleformofaddress	Relation
LDC_rel_049	PersonalSocial.Relationship	personalsocial.relationship	Relation
LDC_rel_050	PersonalSocial.Relationship.Political	personalsocial.relationship.political	Relation
LDC_rel_051	Physical.LocatedNear	physical.locatednear	Relation
LDC_rel_053	Physical.LocatedNear.Surround	physical.locatednear.surround	Relation
LDC_rel_055	Physical.OrganizationHeadquarters.OrganizationHeadquarters	physical.organizationheadquarters.organizationheadquarters	Relation
LDC_rel_057	Physical.Resident.Resident	physical.resident.resident	Relation
LDC_rel_059	ResponsibilityBlame.AssignBlame.AssignBlame	responsibilityblame.assignblame.assignblame	Relation
LDC_rel_061	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility	responsibilityblame.claimresponsibility.claimresponsibility	Relation
LDC_rel_062	Evaluate.Status.HoaxFraud	evaluate.status.hoaxfraud	Relation
